COUNT,EVT_GP
12757289,700
204151,700
1191598,700
2744760,700
12997455,700
3936853,700
993982,629
12412,602
35826134,602
2662676,605
3038801,659
6321951,626
8188918,634
97126138,630
6425578,620
5593265,643
56256772,630
549013,621
355787,645
723093,645
5737048,696
3616534,610
19497870,630
36910,610
20832778,625
30372390,643
6765581,629
3367146,610
9763269,631
11714373,633
1518565,640
991014,607
712276,614
7606984,638
38925506,615
521361,627
15582738,615
4698230,627
9513117,642
16209309,626
890997,627
49507908,625
19923320,640
19981545,643
172380,639
2721914,621
29287350,622
14834536,625
10454213,643
28847846,631
43043000,631
45480995,639
29216748,639
493444,621
1675946,622
13878212,630
409928,610
22273666,603
8128154,628
6973524,632
6746241,623
3357804,613
13807556,636
6123,601
1840341,601
1179167,601
325621,601
2918801,623
39833028,611
6724035,636
4753877,613
8511188,641
620618,606
41096398,623
255653879,604
84855533,636
53107223,613
687967,612
410190,612
10282502,604
11982670,612
63681039,611
2105282,636
130625,613
3966911,613
5941008,609
16748750,637
2450298,637
67772931,624
30126,607
8760615,607
8120313,607
254750,607
43512421,613
468442,607
605519,607
12463950,607
14259552,607
6365574,612
5197799,612
3566047,607
61265173,613
5465145,607
1801139,624
136622,629
219622,629
15039173,610
786410,620
1274796,620
2317668,631
2311481,629
1053087,620
1047,629
1593376,618
344438,618
22121928,618
27675565,623
131014610,604
31735250,604
14743787,613
493221,609
8758468,617
92173,617
3746883,617
80533304,646
2476197,617
608809,617
42079090,617
27692,616
819377,601
7110554,617
33946610,617
7665520,617
257196662,646
3314446,617
105,601
2437261,616
22499013,601
7274871,617
2811919,617
99586008,647
180773057,648
4183218,649
248826,635
4284771,635
53736715,619
4653565,635
2604944,635
4069048,632
2403154,645
2671388,635
15837228,635
1483424,635
1095387,639
22263364,635
334877,608
2224940,635
192858,614
8228720,614
2563369,622
3047,612
5296346,612
98816,607
1329064,617
602109,643
568875,625
10044924,642
13729,610
3933812,645
16880594,631
922704,701
84773336,702
41002956,703
12675690,704
20370060,702
67377,705
172284,706
2232695,707
13646412,710
797051,720
6923,730
37841855,740
8391616,710
12123,705
138155,705
526214,610
470943,629
118326,620
890389,620
61642531,624
7726,627
466802,614
27586,646
1085569,643
8330,647
20752864,606
292092,613
36401940,637
2897424,696
205850,607
5593318,607
177987,607
12245642,612
25390065,700
22411201,700
47600641,604
4052337,700
1496422,700
19854297,700
34797547,614
130043,644
29081,640
460804,610
3139,643
1076198,643
8114062,614
3020062,614
18071600,614
25958,644
8622,644
2265409,665
879379,665
912569,685
817998,685
4317360,676
721496,676
6158291,693
2256859,693
5040,670
88948,654
4174666,687
1458667,628
1176403,635
3658017,635
1324196,635
3119964,635
1156999,635
55077948,618
247291,635
11986345,635
2274341,701
109454,610
170172,610
1879,610
487,610
1273077,610
1469646,610
18038,610
53772,610
162754,602
524990,676
24051,649
66654,676
222328,676
499427,666
1293913,666
1901523,666
269709,666
446173,666
3107244,683
8984873,683
2977858,694
4448357,694
4416,675
763619,675
5436844,675
4342733,675
169328,663
5605,711
106362,664
1506,651
166810,663
1099319,670
482585401,11
1929687,12
103842805,31
4935237,32
75677540,22
41678993,23
15472562,24
213289792,25
120216,668
18328806,652
173664342,682
32976451,660
91393031,660
39191770,661
959500,667
6685157,658
30217715,662
2656801,682
43707878,660
11210618,663
28656,681
14681991,655
29588485,655
23009849,661
16045054,667
38157112,661
28408804,655
192808,668
3294239,681
98822317,655
757898,667
11588933,680
6556369,658
1776269,680
12038,673
1401230,667
15356,680
1084372,667
19562877,658
542017,602
3099571,666
137410,672
2594119,655
14586972,658
136300,672
84678,672
3516536,656
116480,656
589995,664
175375,662
18186696,680
1855896,676
8403465,677
10284274,677
1815046,677
23473261,677
608484,693
486128,677
1273995,686
5302845,695
150997,686
1750250,686
3859083,677
12100473,680
1206775,689
1718989,666
884744,679
7157811,665
315083,670
1330098,662
17460562,693
15392308,685
12065135,690
10917938,664
4977260,664
10581460,685
14464819,689
3862260,690
20574984,693
11848346,693
350981,670
7538592,660
864272,664
958222,689
322785,679
244408,679
144066,662
589100,679
24272363,662
18773,679
5030557,635
39840,651
334711,691
28221,651
1822636,613
3733437,624
5426215,613
41181110,696
626118,659
1209150,663
20407025,653
386623,670
16482,670
17699,674
944933,670
3031084,670
1459905,694
36505,670
632,670
34489070,664
4235747,676
35725,670
51783,671
840744,670
22374,675
1251950,649
110998,688
12846,670
495145,688
29222,688
3448,688
44243,688
150263,688
2654386,649
13820324,649
436237,649
17954914,649
1100077,688
9108,654
35546,688
526748,688
199914,688
92513,688
237137,675
4660,654
694219,654
504457,654
5953979,617
175781,617
46275,617
3849602,617
398485,654
659579,676
3795081,684
259450,657
1842345,664
5465103,684
2454538,684
9790330,684
616104,687
11344190,684
5167819,684
401652,684
357182,686
35629,673
861169,684
139417,657
3811902,657
11321122,694
14996,694
30322704,664
601,692
178745,675
1282546,666
2921284,694
7879211,666
2285361,678
17198503,666
7994515,668
77075097,666
33138283,668
2622638,666
403929,668
21311410,683
1093981,694
11653534,694
22892371,694
19221737,694
1666265,650
6313925,653
294722,675
1071051,675
7805110,650
2206707,675
2580694,653
260994,653
151321,675
2794699,675
2532381,675
8284169,650
6394,700
12335,700
59707,700
3906931,694
5016160,664
13154478,617
1967178,650
497271,673
449654,689
149853,667
638740,690
51408061,685
9575565,685
928494,684
1917256,663
1150262,673
12608176,662
24629,674
4182356,696
218106,605
229463,668
10628764,694
1318019,690
144506,740
6809474,740
5794296,740
41282605,740
22538064,740
12281266,731
150184914,731
1187704,708
387056,709
16028553,711
46828587,711
936633,690
2624388,697
111151,684
917892,677
906814,698
652986,693
10487378,693
3242675,664
603467,664
1316139,662
5554279,662
27917506,613
107430,670
37280,668
8234,668
1281769,711
93796,691
76418,688
159204,688
364407,688
20831,684
1365456,657
1210497,694
101288,657
1177169,668
1220979,668
1174516,694
1481134,653
85405,675
80970,675
234056,675
957726,675
1724431,653
5086658,690
2479944,690
2717024,689
3601067,689
563099,689
225478,689
26402,684
19205,684
104984,684
454780,684
1945818,13
1532371,14
1202011,15
12952668,16
10698221,17
9477124,13
6941260,14
7658934,15
45696067,16
30608844,17
962778,13
337643,14
652060,15
5132260,16
8156747,17
1820308,13
3076241,14
1540675,15
8845257,16
8838497,17
703633,13
646909,14
55195,15
19033885,17
79086583,16
60928,13
75131,14
50013,15
12565580,17
11104496,16
36007698,13
2168779,14
867221,15
19713944,17
88118318,16
1346768,13
3032027,14
240563,15
15247757,17
10091414,16
19811,13
18449,14
1221,15
1074340,17
8230532,16
1289,13
385,14
593,15
234176,17
399676,16
1012687,13
80810,14
15180,15
642742,17
11325851,16
23004,13
110399,14
6075,15
780594,17
13837025,16
2124868,60
703596,61
21228,62
1841014,63
186439674,64
50264965,65
58373610,66
53372307,67
178732202,68
330,69
1376217,60
246796,61
394242,62
2484410,63
584249482,64
45509982,65
8824888,66
370962812,67
42376118,68
5431,69
9192697,60
3749962,61
3229,62
1589759,63
28132122,64
7954297,65
13378195,66
11794939,67
13600746,68
1898,69
4780397,60
783,61
19367,62
903736,63
89212011,64
5932544,65
17231820,66
82609233,67
2087164,68
662296,69
