EVT,X100hr_loading_Mgha,X10hr_loading_Mgha,X10Khr_loading_Mgha,X10KhrR_loading_Mgha,X10KhrS_loading_Mgha,X1hr_loading_Mgha,X1Khr_loading_Mgha,X1KhrR_loading_Mgha,X1KhrS_loading_Mgha,cwd_loading_Mgha,cwd_rotten_loading_Mgha,cwd_sound_loading_Mgha,duff_depth_,duff_loading_Mgha,fwd_loading_Mgha,GT10KhrR_loading_Mgha,GT10KhrS_loading_Mgha,herb_loading_Mgha,herb_percentlive_,lichen_loading_Mgha,litter_depth_,litter_loading_Mgha,moss_loading_Mgha,ms_loading_Mgha,os_loading_Mgha,shrub_loading_Mgha,snag_loading_Mgha,tree_crown_loading_Mgha,tree_loading_Mgha,us_loading_Mgha
201,0.157,0.045,NA,0.687,0.429,0.116,NA,0.646,0.222,0.082,0.32,0.29,0.013,0.013,0.083,0.899,0.732,0.024,NA,NA,0.013,0.023,NA,NA,NA,0,NA,NA,NA,NA
602,0.152,0.045,NA,NA,NA,0.04,NA,NA,NA,0.196,0.431,0.216,NA,0.076,0,NA,NA,0.042,NA,NA,NA,0,NA,NA,NA,0.066,0.233,NA,0,NA
603,0.067,0,NA,NA,NA,0.01,NA,NA,NA,0.034,0.097,0.129,NA,0,0,NA,NA,0.014,NA,NA,NA,0,NA,NA,NA,0.088,0.018,NA,0,NA
604,0.58,0.236,NA,NA,NA,0.411,NA,0.839,0.645,0.646,0.857,0.714,NA,NA,0.085,NA,NA,0.009,NA,NA,NA,NA,NA,NA,NA,0.019,NA,NA,NA,NA
610,0.164,0.109,NA,0.762,0.762,0.109,NA,0.391,0.304,0.164,0.333,0.214,NA,0.126,NA,0.976,0.976,0.069,NA,NA,NA,0.013,NA,NA,NA,0.071,0.276,NA,0,NA
614,0.102,0.03,NA,0.591,0.673,0.038,0,0.384,0.333,0.099,0.269,0.284,0.011,0.024,0.004,0.849,0.847,0.015,NA,NA,0.009,0.002,NA,NA,NA,0.027,0.305,NA,0.038,NA
615,0.036,0.007,0.18,0.688,0.231,0.004,0.074,0.698,0.092,0.008,0.455,0.142,0,0,NA,0.811,0.528,0.011,NA,NA,NA,0,NA,NA,NA,0.023,0.216,NA,0.007,NA
617,0.759,0.542,NA,1,0.897,0.662,NA,1,0.829,0.66,0.776,0.718,NA,0.211,NA,1,0.974,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
620,0.578,0.318,NA,0.957,0.979,0.209,NA,0.961,0.902,0.829,0.976,0.881,NA,0.483,NA,1,0.976,0.016,NA,NA,NA,0.016,NA,NA,NA,0.106,0.785,NA,0.011,NA
622,0.09,0.02,NA,0.793,0.61,0.026,NA,0.541,0.186,0.082,0.314,0.204,0.035,0.027,0,0.996,0.976,0.009,NA,NA,0.024,0.003,NA,NA,NA,0.049,0.169,NA,0.038,NA
624,0.664,0.398,NA,NA,NA,0.283,NA,NA,NA,0.885,NA,NA,NA,0.773,NA,NA,NA,0.006,NA,NA,NA,0.018,NA,NA,NA,0.165,0.823,NA,0.001,NA
625,0.057,0.013,NA,0.663,0.551,0.042,0,0.487,0.234,0.088,0.389,0.197,0.012,0.073,0.004,0.922,0.909,0.014,NA,NA,0,0.013,NA,NA,NA,0.024,0.319,NA,0.043,NA
626,0.082,0.012,NA,0.775,0.493,0.013,0,0.615,0.157,0.082,0.459,0.124,0.018,0.102,0,0.845,0.739,0.053,NA,NA,0,0.004,NA,NA,NA,0.046,0.254,NA,0.006,NA
627,0.137,0.058,NA,0.856,0.281,0.03,NA,0.755,0.129,0.057,0.482,0.269,NA,0.018,NA,0.962,0.838,0,NA,NA,NA,0,NA,NA,NA,0.054,0.145,NA,0,NA
629,0.386,0.203,NA,NA,NA,0.072,NA,NA,NA,0.529,NA,NA,NA,0.357,NA,NA,NA,0.068,NA,NA,NA,0,NA,NA,NA,0.286,0.648,NA,0.008,NA
630,0.431,0.18,NA,NA,NA,0.038,NA,0.5,0.635,0.58,0.808,0.837,NA,0.395,0.046,NA,NA,0.021,0,NA,NA,0.02,NA,NA,NA,0.046,0.478,NA,0.011,NA
631,0.118,0.023,0.293,0.812,0.724,0.079,0,0.636,0.375,0.238,0.489,0.371,0.008,0.044,0,0.933,0.917,0.014,NA,NA,0.005,0.002,NA,NA,NA,0.096,0.426,NA,0.014,NA
633,0.192,0.029,NA,0.714,0.452,0.016,NA,0.674,0.07,0.109,0.453,0.342,NA,NA,0.029,0.905,0.738,0.109,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
635,0.22,0.119,NA,0.566,0.736,0.124,NA,0.37,0.352,0.241,0.439,0.411,NA,0.128,0.077,0.811,0.887,0.032,NA,NA,NA,0.029,NA,NA,NA,NA,NA,NA,NA,NA
638,0.12,0.024,NA,0.714,0.262,0.024,NA,0.767,0.093,0.102,0.33,0.348,NA,0.026,NA,0.833,0.571,0,NA,NA,NA,0,NA,NA,NA,0,0.333,NA,0,NA
639,0.137,0.045,NA,0.545,0.483,0.056,0,0.395,0.211,0.067,0.256,0.23,0.005,0.008,0.015,0.935,0.921,0.021,NA,NA,0.012,0.004,NA,NA,NA,0.022,0.147,NA,0.007,NA
640,0.14,0.044,NA,0.58,0.575,0.078,NA,0.47,0.366,0.139,0.431,0.328,NA,0.086,0,0.95,0.945,0.024,NA,NA,NA,0,NA,NA,NA,0.071,0.177,NA,0.025,NA
642,0.061,0.011,NA,0.688,0.238,0.014,NA,0.665,0.108,0.018,0.476,0.123,NA,0,NA,0.815,0.555,0,NA,NA,NA,0,NA,NA,NA,0,0.268,NA,0.024,NA
643,0.043,0.006,NA,0.663,0.484,0.012,0,0.6,0.282,0.173,0.492,0.267,0.007,0.025,0.005,0.902,0.802,0.053,NA,NA,0,0.004,NA,NA,NA,0.047,0.159,NA,0.009,NA
644,0.032,0.008,NA,NA,NA,0.016,NA,NA,NA,NA,0.152,0.13,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
645,0.056,0.016,NA,0.582,0.123,0.008,NA,0.578,0.078,0.018,0.284,0.181,NA,0.009,NA,0.746,0.41,0,NA,NA,NA,0,NA,NA,NA,0.019,0.066,NA,0.019,NA
652,0.107,0.025,NA,NA,NA,0.019,NA,NA,NA,0.074,NA,NA,NA,0.057,NA,NA,NA,0.012,NA,NA,NA,0.006,NA,NA,NA,0.033,0.232,NA,0.006,NA
655,0.117,0.025,NA,NA,NA,0.006,NA,NA,NA,0.142,NA,NA,NA,0.148,NA,NA,NA,0.03,NA,NA,NA,0.018,NA,NA,NA,0.116,0.352,NA,0,NA
656,0.386,0.314,NA,NA,NA,0.144,NA,NA,NA,0.72,NA,NA,NA,0.149,NA,NA,NA,0.008,NA,NA,NA,0,NA,NA,NA,0.106,0.657,NA,0,NA
660,0.19,0.076,NA,NA,NA,0.037,NA,0.035,0.029,0.248,0,0,NA,0.115,NA,NA,NA,0.092,NA,NA,NA,0.012,NA,NA,NA,0.087,0.38,NA,0.002,NA
661,0.063,0.019,NA,NA,NA,0.004,NA,NA,NA,0.079,0,0,NA,0.046,NA,NA,NA,0.079,NA,NA,NA,0.004,NA,NA,NA,0.028,0.19,NA,0,NA
662,0.36,0.14,NA,NA,NA,0.057,NA,NA,NA,0.499,NA,NA,NA,0.184,NA,NA,NA,0.118,NA,NA,NA,0.014,NA,NA,NA,0.085,0.44,NA,0.006,NA
663,0.101,0.059,NA,NA,NA,0.037,NA,NA,NA,0.189,NA,NA,NA,0.065,NA,NA,NA,0.103,NA,NA,NA,0.015,NA,NA,NA,0.092,0.315,NA,0,NA
665,0.136,0.037,NA,NA,NA,0.025,NA,NA,NA,0.221,NA,NA,0,0.01,NA,NA,NA,0.006,NA,NA,0,0,NA,NA,NA,0.078,0.264,NA,0,NA
666,0.395,0.208,NA,NA,NA,0.11,NA,NA,NA,0.474,NA,NA,NA,0.23,NA,NA,NA,0.149,NA,NA,NA,0.039,NA,NA,NA,0.146,0.485,NA,0.003,NA
667,0.26,0.137,NA,NA,NA,0.055,NA,NA,NA,0.467,NA,NA,NA,0.11,NA,NA,NA,0.183,NA,NA,NA,0.007,NA,NA,NA,0.192,0.508,NA,0.008,NA
668,0.421,0.273,NA,NA,NA,0.14,NA,NA,NA,0.585,NA,NA,NA,0.388,NA,NA,NA,0.098,NA,NA,NA,0.043,NA,NA,NA,0.211,0.597,NA,0,NA
677,0.222,0.085,NA,NA,NA,0.094,NA,NA,NA,0.676,NA,NA,NA,0.216,NA,NA,NA,0.143,NA,NA,0.056,0.016,NA,NA,NA,0.072,0.575,NA,0.014,NA
680,0.448,0.204,NA,NA,NA,0.075,NA,NA,NA,0.578,NA,NA,NA,0.14,NA,NA,NA,0.175,NA,NA,NA,0.018,NA,NA,NA,0.131,0.557,NA,0.007,NA
682,0.081,0.022,NA,NA,NA,0.015,NA,NA,NA,0.056,NA,NA,NA,0.045,NA,NA,NA,0.007,NA,NA,NA,0.005,NA,NA,NA,0.152,0.235,NA,0,NA
684,0.464,0.197,NA,NA,NA,0.087,NA,0.687,0.463,0.64,NA,NA,0,0.146,0,NA,NA,0.264,NA,NA,0,0.017,NA,NA,NA,0.152,0.57,NA,0.007,NA
685,0.062,0.021,NA,NA,NA,0.014,NA,NA,NA,0.076,NA,NA,NA,0.042,NA,NA,NA,0.055,NA,NA,NA,0.007,NA,NA,NA,0.164,0.146,NA,0,NA
689,0.327,0.115,NA,NA,NA,0.018,NA,NA,NA,0.476,NA,NA,NA,0.196,NA,NA,NA,0.163,NA,NA,NA,0,NA,NA,NA,0.067,0.506,NA,0,NA
690,0.248,0.099,NA,NA,NA,0.046,NA,NA,NA,0.407,NA,NA,NA,0.125,NA,NA,NA,0.26,NA,NA,NA,0.061,NA,NA,NA,0.068,0.355,NA,0.009,NA
693,0.068,0.024,NA,NA,NA,0.014,NA,NA,NA,0.066,NA,NA,NA,0,NA,NA,NA,0.017,NA,NA,NA,0.003,NA,NA,NA,0.161,0.112,NA,0,NA
694,0.276,0.159,NA,NA,NA,0.121,NA,NA,NA,0.316,NA,NA,NA,0.168,NA,NA,NA,0.197,NA,NA,NA,0.01,NA,NA,NA,0.164,0.3,NA,0.009,NA
696,0.428,0.21,NA,NA,NA,0.094,NA,NA,NA,0.59,NA,NA,NA,0.26,NA,NA,NA,0.067,NA,NA,NA,0.015,NA,NA,NA,0.06,0.531,NA,0,NA
697,0.416,0.178,NA,NA,NA,0.056,0.17,NA,NA,0.584,NA,NA,NA,0.112,NA,NA,NA,0.249,NA,NA,NA,0.027,NA,NA,NA,0.122,0.537,NA,0.008,NA
740,0.356,0.206,NA,NA,NA,0.118,NA,NA,NA,0.439,NA,NA,NA,0.213,NA,NA,NA,0.143,NA,NA,NA,0.026,NA,NA,NA,0.117,0.495,NA,0.006,NA
758,0.182,0.091,NA,NA,NA,0.073,NA,NA,NA,NA,NA,NA,0,0.048,NA,NA,NA,0.014,NA,0.316,NA,0.06,0,NA,NA,0.025,0.294,0,NA,NA
